SL Chemistry ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
4-5 ,42,17-18 ,52,32-33 ,63,46-47 ,74,61-62 ,86,79-81 ,95,93-96 ,99
6,43,19-20 ,53,34,64,48,75,63-64 ,87,82-84 ,96,100,100
7,44,21,54,35,65,49,76,65-66 ,88,,,,
8,45,22,55,36,66,50,77,67,89,,,,
9,46,23,56,37,67,51,78,68,90,,,,
10,47,24,57,38,68,52,79,69,91,,,,
11,48,25,58,39,69,53,80,70,92,,,,
12,49,26,59,40,70,54,81,,,,,,
,,27,60,41,71,55,82,,,,,,
,,,,,,56,83,,,,,,
HL Language & Literature ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,20,50,36,61,46,72,60,84,"73,74 ",93,86-90 ,97
1,3,"21,22 ",51,37,62,47,73,"61,62 ",85,75-78 ,94,91-95 ,98
2,5,23,52,38,63,48,74,63,86,79-82 ,95,96-99 ,99
3,8,"24,25 ",53,39,64,"49,50 ",75,"64,65 ",87,83-85 ,96,100,100
4,10,26,54,40,65,51,76,66,88,,,,
5,13,"27,28 ",55,41,67,52,77,"67,68 ",89,,,,
6,15,29,56,42,68,53,78,69,90,,,,
7,18,"30,31 ",57,43,69,54,79,"70,71 ",91,,,,
8,21,32,58,44,70,"55,56 ",80,72,92,,,,
9,23,"33,34 ",59,45,71,57,81,,,,,,
10,26,35,60,,,58,82,,,,,,
11,28,,,,,59,83,,,,,,
12,31,,,,,,,,,,,,
13,34,,,,,,,,,,,,
14,36,,,,,,,,,,,,
15,39,,,,,,,,,,,,
16,41,,,,,,,,,,,,
17,44,,,,,,,,,,,,
18,46,,,,,,,,,,,,
19,49,,,,,,,,,,,,
SL Math ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,17,50,34,61,48,72,60,84,"71,72 ",93,84-88 ,97
1,3,"18,19 ",51,35,62,49,73,61,85,73-76 ,94,89-94 ,98
2,6,20,52,"36,37 ",63,50,74,"62,63 ",86,77-80 ,95,95-99 ,99
3,9,"21,22 ",53,38,64,51,75,64,87,81-83 ,96,100,100
4,12,"23,24 ",54,39,65,52,76,65,88,,,,
5,15,25,55,"40,41 ",66,53,77,66,89,,,,
6,18,"26,27 ",56,42,67,54,78,"67,68 ",90,,,,
7,21,28,57,43,68,55,79,69,91,,,,
8,25,"29,30 ",58,"44,45 ",69,56,80,70,92,,,,
9,28,"31,32 ",59,46,70,57,81,,,,,,
10,31,33,60,47,71,58,82,,,,,,
11,34,,,,,59,83,,,,,,
12,37,,,,,,,,,,,,
13,40,,,,,,,,,,,,
14,43,,,,,,,,,,,,
15,46,,,,,,,,,,,,
16,49,,,,,,,,,,,,
HL Math ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,14,50,29,61,41,72,53,84,"65,66 ",93,77-84 ,97
1,4,"15,16 ",51,30,62,42,73,"54,55 ",85,67-70 ,94,85-92 ,98
2,8,17,52,31,63,43,74,56,86,71-74 ,95,93-99 ,99
3,11,18,53,32,64,44,75,57,87,"75,76 ",96,100,100
4,15,"19,20 ",54,33,65,45,76,"58,59 ",88,,,,
5,19,21,55,"34,35 ",66,46,77,60,89,,,,
6,23,"22,23 ",56,36,67,47,78,61,90,,,,
7,26,24,57,37,68,48,79,"62,63 ",91,,,,
8,30,25,58,38,69,49,80,64,92,,,,
9,34,"26,27 ",59,39,70,50,81,,,,,,
10,38,28,60,40,71,51,82,,,,,,
11,41,,,,,52,83,,,,,,
12,45,,,,,,,,,,,,
13,49,,,,,,,,,,,,
HL Economics ,,,,,,,,,,,,,
1,,,2,,3,,4,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,0,"15,16 ",50,28,61,39,72-73 ,"50,51 ",84,61-64 ,93,74-83 ,97
